,name,desc,class,link
351,Printed Polyester Round Neck Women's Kurta Palazzo Set,., Pack of 2  India  Printed  Kurta Palazzo Set  3/4   Polyester Neckline Round Neck  Regular  Casual Wear  Straight  Woven,https://www.shoppersstop.com/biba-printed-polyester-round-neck-women-s-kurta-palazzo-set/p-S23BIRABNA8182/colorChange/S23BIRABNA8182_BEIGE?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
352,Athiya S Pastel Pink Mirror Work Dupatta,"Instantly glam up any outfit with our Athiya S Pastel Pink dupatta with mirror work detailing all over. Pair it with our Athiya S Pastel Pink Tonal Embroidered Blouse and Lehenga Skirt to make heads turn at your next festive gathering. SIZE FIT : Comfortable : 89"" Model is wearing size S Model Height: 5'6"" PACKED BY Technicolour Dream Pants Pvt Ltd. COUNTRY OF ORIGIN India", Single  India  Dupattas  Georgette  Woven  Regular  Embroidered  Festive Wear,https://www.shoppersstop.com/alaya-by-stage-3-athiya-s-pastel-pink-mirror-work-dupatta/p-S23ALAPF1452/colorChange/S23ALAPF1452_PINK?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
353,Sanya Malhotra Embroidered Round Neck Viscose Blend Women's Kurta Sharara Dupatta Set,"You're going to love wearing this kurta set from Kashish throughout the festive seasons. This set includes a short peplum kurta, flowery sharara trousers, and a stylish net dupatta for extra refinement. The front is accented with beautiful embroidery. Combine it with golden sandals for an on-point glam.", Pack of 3  India  Embroidered  Kurta Sharara Dupatta Set  3/4   Viscose Blend Neckline Round Neck  Knee   Festive Wear  Flare  Woven Dupatta Yes,https://www.shoppersstop.com/kashish-sanya-malhotra-embroidered-round-neck-viscose-blend-women-s-kurta-sharara-dupatta-set/p-AW22KSSE57F/colorChange/AW22KSSE57F_ORANGE?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
354,Floral Modal Round Neck Womens Top,"Floral, round-neck, modal top by Infuse. This top is air-y, flowy, and perfect for the days when you can't decide what to wear. This top is printed with floral motifs all over the fabric and have a tassel tie at the neckline. It is also gathered at the waist to give you a more flattering fit.", India  Floral  Tops  Modal Neckline Round Neck  Casual Wear  Half   Regular,https://www.shoppersstop.com/infuse-floral-modal-round-neck-womens-top/p-S22INEKF1476/colorChange/S22INEKF1476_CREAM?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
355,Printed Round Neck Hi Low Womens Kurta,Stop Calf  Hi Low Printed Kurta With Elbow  And Round Neck For Casual Wear, India  Kurta  Rayon  Woven Silouhette Hi Low Neckline Round Neck  Casual Wear  Elbow   Calf   Hi Low  Printed Design Stripes Volume 430 Ml,https://www.shoppersstop.com/stop-printed-round-neck-hi-low-womens-kurta/p-S21STKUFS33/colorChange/S21STKUFS33_OFF_WHITE?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
356,Printed chambray V Neck Women's Dress,"Myshka comes with its trendy dynamic fitting women dress.Made of Premium fabric, these dresses provided comfort during normal and low temperatures and also will help you stay relaxed all day long. The product material is also sure to keep you comfortable. Look classy and stylish in this piece and revel in the comfort of the fabric. This dress is comfortable to wear and will make you look stunning. Made of Premium fabric, these dresses provided comfort during normal and low temperatures and also will help you stay relaxed all day long",Closure Type No Closure  India  Dress  Chambray Type of work Printed  Casual Wear  3/4   Regular  Printed  Regular  Knit Dupatta No,https://www.shoppersstop.com/myshka-printed-chambray-v-neck-women-s-dress/p-S22MY678/colorChange/S22MY678_BROWN?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
357,Printed Rayon Collar Neck Women's Knee Length Dress,., Single  India  Knee  Dress  Rayon Neckline Collar Neck  Casual Wear  3/4   Straight  Printed  Knee   Woven  Women,https://www.shoppersstop.com/biba-printed-rayon-collar-neck-women-s-knee-length-dress/p-S23BIROFL1983OL/colorChange/S23BIROFL1983OL_OLIVE?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
358,Printed Round Neck Rayon Women's Gather Dress,All Over Print Ankle  Gather Dress With Flair , India  Dress  Rayon Neckline Round Neck  Casual Wear  3/4   Printed  Full   Woven,https://www.shoppersstop.com/infuse-printed-round-neck-rayon-women-s-gather-dress/p-A21INGD2147F/colorChange/A21INGD2147F_ROYAL_BLUE?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
359,Women's Printed Knee Length Casual Wear Kurta,"Flaunt your love for ethnic wear with this fashionable and graceful Women's Printed Knee  Casual Wear Kurta. The natural tone of this women’s kurta makes it look alluring, while the pleasing printed print and mandarin collar further highlight its appeal. The straight silhouette of this women’s kurta enhances its charm while the cotton promises a comfortable fit. You can style this women’s kurta with a pair of high heels, pretty drop earrings, and a smart clutch.", India  Kurta  Cotton  Woven Silouhette Straight  Neckline Mandarin  Festive Wear  Roll-Up   Knee   Loose   Women  Printed Category Regular,https://www.shoppersstop.com/stop-women-s-printed-knee-length-casual-wear-kurta/p-S21STEPP10/colorChange/S21STEPP10_BEIGE?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
360,Floral Rayon Round Neck Women's Casual Wear Tunic,Enhance your wardrobe with this round-neck casual wear tunic from Infuse. Look gorgeous in the all-over-body floral design in a parallel pattern. The soft rayon fabric keeps you super comfortable., Single  India  Floral  Tunic  Rayon  Woven Neckline Round Neck  Casual Wear  3/4   Regular  Regular,https://www.shoppersstop.com/infuse-floral-rayon-round-neck-women-s-casual-wear-tunic/p-A22INFLET2382/colorChange/A22INFLET2382_BLACK?currentPosition=11&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
