,name,desc,class,link
1321,Checks Cotton Slim Fit Men's Work Wear Shirt,., Shirts Neckline Round Neck  India  Cotton Collar Regular Collar  Full   Slim  Checks  Single  Work Wear ,https://www.shoppersstop.com/louis-philippe-checks-cotton-slim-fit-men-s-work-wear-shirt/p-A22SFMSLFE90058/colorChange/A22SFMSLFE90058_BLUE?currentPosition=22&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D68&totalResultVal=24600&searchPageType=category
1322,Clean Look Cotton Stretch Bootcut Fit Men's Jeans,., India Wash Clean Look Waist Rise Mid Rise  Bootcut  Cotton Stretch Closure Type Button  Regular  Casual Wear  Dyed   Jeans,https://www.shoppersstop.com/spykar-clean-look-cotton-stretch-bootcut-fit-men-s-jeans/p-S23MDRAF1BC015B/colorChange/S23MDRAF1BC015B_BLACK?currentPosition=23&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D68&totalResultVal=24600&searchPageType=category
1323,Printed Polyester Men's Festive Wear Kurta Pyjama Set,This sleek printed polyester kurta pyjama set by Bandeya is sure to become your favourite ethnic outfit. This festive wear set comes in a beige full-sleeved knee-length kurta with pockets and all over intricate embroidery work and detailed patterns on the neckline and hemline. The perfect-fit pants come with a drawstring closure with an elasticated waistband. Pair this with ethnic jutis., India  Full   Full   Poly Silk  Festive Wear  Printed  Slim,https://www.shoppersstop.com/bandeya-printed-polyester-men-s-festive-wear-kurta-pyjama-set/p-SS22KPEMBHEAVY/colorChange/SS22KPEMBHEAVY_BEIGE?currentPosition=24&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D68&totalResultVal=24600&searchPageType=category
1324,Machine Wash Cotton Blend Regular Fit Men's Jeans,"73 fashion- signature brand carrier- stylized 5 pocket regular fit- mid rise straight leg jeans, raw indigo, non faded denim with a classic clean look", India Wash Machine Wash Waist Rise Mid Rise  Regular  Cotton Blend Closure Type Button  Full   Casual Wear  Solid   Jeans,https://www.shoppersstop.com/pepe-machine-wash-cotton-blend-regular-fit-men-s-jeans/p-S23HATCHERHIPBL/colorChange/S23HATCHERHIPBL_BLUE?currentPosition=25&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D68&totalResultVal=24600&searchPageType=category
1325,Graphic Cotton Regular Fit Men's Casual Shirt,., Woven  Shirts  India  Cotton Collar Regular Collar  Full   Regular  Graphic  1  Casual Wear,https://www.shoppersstop.com/jack-and-jones-graphic-cotton-regular-fit-men-s-casual-shirt/p-S23JJ293299901/colorChange/S23JJ293299901_PURPLE?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1326,Solid Cotton Men's T-Shirt,"- IN-HANCE Wash (Anti-Bacterial, Bio Wicking, Anti-Odour and Smart Wash)- HIGH IQ Antifade Dye- Round Collar- Extreme Breathability", India Category T-Shirt  Regular  Solid  Cotton  Regular ,https://www.shoppersstop.com/stop-solid-cotton-men-s-t-shirt/p-S21187SOLIDTEIB/colorChange/S21187SOLIDTEIB_INK_BLUE?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1327,Light Wash Polyester Cotton Skinny Fit Mens Jeans,., India Wash Light Wash Waist Rise Mid Rise  Skinny  Polyester Cotton Closure Type Zip  Full   Single  Casual Wear  Solid   Jeans,https://www.shoppersstop.com/pepe-light-wash-polyester-cotton-skinny-fit-mens-jeans/p-A22FELTONIPBLU/colorChange/A22FELTONIPBLU_BLUE?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1328,Plus Size Men's Solid Waffle Henley Half Sleeved Tee,Plus Size Men's Solid Waffle Henley Half Sleeved Tee, India  Half   Regular Neckline Henley  Solid  Cotton Blend  Single  Regular  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/u-r-you-plus-size-men-s-solid-waffle-henley-half-sleeved-tee/p-S23URUMTE138/colorChange/S23URUMTE138_MIST_GREEN?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1329,Printed Cotton Slim Fit Men's Casual Shirt,., Woven  Shirts  India  Cotton Collar Regular Collar  Full   Slim  Printed  Single  Casual Wear,https://www.shoppersstop.com/rare-rabbit-printed-cotton-slim-fit-men-s-casual-shirt/p-S23ITALPASTLLU/colorChange/S23ITALPASTLLU_BLUE?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1330,Abstract Cotton Regular Fit Men's T-Shirt,"Men's trendy all over photographic printed tee with contrast neck tape detail at interior, soft washed", India  Half   Regular Neckline Crew  Abstract  Cotton  Casual Wear Collar Slim Collar   T-Shirts  Woven,https://www.shoppersstop.com/pepe-abstract-cotton-regular-fit-men-s-t-shirt/p-S23LOGANSSIPWHI/colorChange/S23LOGANSSIPWHI_WHITE?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
