,name,desc,class,link
10,Printed V Neck Chiffon Women's Midi Dress,"Multicolour, v-neck, chiffon dress by Fratini. This dress looks like it is out of a cottage core dream. It is flowy, has a floral design printed on the fabric, made in layers. Imagine running through a field in this! It is perfect for day-time events. Pair it with some platform shoes or flats and dainty jewellery. It is also has a thick elastic waist band which makes the fit more flattering.", Single  India  Chiffon  Casual Wear  Woven  Half  Neckline V Neck  Midi Dress  A Line  Printed  Calf ,https://www.shoppersstop.com/fratini-printed-v-neck-chiffon-women-s-midi-dress/p-S23346DR10P/colorChange/S23346DR10P_MULTI?currentPosition=11&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
11,Light Wash Cotton Blend Regular Fit Women's Jeans,Look super stylish this season in these jeans from Infuse. Team them with a top and a pair of heels while heading out shopping with your friends., Single  India  Cotton Blend  Regular Waist Rise High Rise  Ankle   Jeans Wash Light Wash Pockets 5 Pockets  Solid  Casual Wear Closure Type Zipper  Woven,https://www.shoppersstop.com/infuse-light-wash-cotton-blend-regular-fit-women-s-jeans/p-INFLWD-03/colorChange/INFLWD-03_STONE?currentPosition=12&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
12,Clean Look Cotton Wide Fit Women's Jeans,K5031 high-rise wide leg jeans, Single  India  Cotton  Wide Waist Rise High Rise  Ankle   Jeans Wash Clean Look Silouhette Regular  Solid  Casual Wear Closure Type Button  Woven  Women,https://www.shoppersstop.com/kraus-clean-look-cotton-wide-fit-women-s-jeans/p-A22KRSLFA1558/colorChange/A22KRSLFA1558_BLUE?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
13,Printed Polyester Sweetheart Neck Women's Peplum Top,., Tops  India  Polyester  3/4   Casual Wear  Printed Neckline Sweetheart Neck  Regular Silouhette Peplum Closure Type Button  Regular,https://www.shoppersstop.com/rare-printed-polyester-sweetheart-neck-women-s-peplum-top/p-S21RAREEP6203WH/colorChange/S21RAREEP6203WH_WHITE?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
14,Solid Half Sleeves Blended Women's Ankle Length Jumpsuit,"Your chic fashion choice is complemented when you sport this ankle-length, half-sleeved, v-neck jumpsuit from Life with button closure woven with blended fabric. Its solid pattern looks trendy and smart at any social event.", Single  India  Jumpsuit  Blend  Solid  Half   Casual Wear Neckline Collar Neck Collar Lapel Collar  Ankle  Closure Type Button  Regular  Woven,https://www.shoppersstop.com/life-solid-half-sleeves-blended-women-s-ankle-length-jumpsuit/p-A22507DRBROWN5/colorChange/A22507DRBROWN5_BROWN?currentPosition=15&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
15,Checks Round Neck Blended Womens Knee Length Dress,"Pink, flannel, blended fabric dress by Life. This shirt-dress is perfect for the warmer months and can be worn as both a dress and a shirt. It has a collar, gold button-down detailing, and pockets!", Single  India  Blend  Casual Wear  Woven  Full  Neckline Round Neck  Knee  Dress  A Line  Checks  Knee ,https://www.shoppersstop.com/life-checks-round-neck-blended-womens-knee-length-dress/p-A22507DR212/colorChange/A22507DR212_PINK?currentPosition=16&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
16,Floral V Neck Polyester Women's Midi Dress,"This dress from the house of Infuse has a lovely all-over floral print and is made from a premium fabric that offers a flattering fit, and it includes a frilled V neck. Style it with a pair of strappy heels to enhance the look.", Single  India  Polyester  Casual Wear  Woven  Sleeveless Neckline V Neck  Midi Dress  Regular  Floral  Calf ,https://www.shoppersstop.com/infuse-floral-v-neck-polyester-women-s-midi-dress/p-A22INFWDR1402/colorChange/A22INFWDR1402_LIGHT_BLUE?currentPosition=17&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
17,Printed Crepe Square Neck Women's Top,"Explore the collection of beautifully designed western wear from KIBO on SHOPPERS-STOP. Each piece is elegently crafted and will surely add your wardrobe. KIBO as a brand brings you quality and affordibility, We take pride in our commitment to maintaining quality standards in each peice manufactured by us.", Single Sleeve Style Bishop   Tops  India  Crepe  Woven  Full   Casual Wear  Printed Neckline Square Neck  Peplum Wash Clean Look,https://www.shoppersstop.com/kibo-printed-crepe-square-neck-women-s-top/p-LVT2011A/colorChange/LVT2011A_RED?currentPosition=18&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
18,Polka Dots Polyester Square Neck Women's Crop Fit Top,Step out in style by wearing this fashionable crop fit top from Infuse. The square neck and puffed sleeves add beauty to this polka-dotted top. Crafted with soft polyester fabric is comfortable to wear all day long., Tops  India  Polyester  Woven  Full   Casual Wear  Polka Dots Neckline Square Neck  Crop,https://www.shoppersstop.com/infuse-polka-dots-polyester-square-neck-women-s-crop-fit-top/p-S22INWT1395/colorChange/S22INWT1395_DUSTY_PINK?currentPosition=19&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
19,Floral Polyester V Neck Women's Top,"Make a statement in this chic, polyester, half-sleeved, woven, cropped-length women's top from Infuse with a flattering v-neck. The floral printed pattern all over the body adds to the look of the clothing.", Single  Tops  India  Polyester  Woven  Half   Casual Wear  Floral Neckline V Neck  Crop   Regular,https://www.shoppersstop.com/infuse-floral-polyester-v-neck-women-s-top/p-A22INLWT1704/colorChange/A22INLWT1704_BLACK?currentPosition=20&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
