,name,desc,class,link
10,Stripes Cotton Blend Regular Fit Mens T-Shirt,"Navy blue, cotton-blend, regular fit t-shirt by Stop. This t-shirt has a stiff collar, horixontal stripes, and button-down detailing at the neckline. It is the perfect smart casual piece in your wardrobe.", India  Half   Regular Neckline Polo  Stripes  Cotton Blend  Single  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/stop-stripes-cotton-blend-regular-fit-mens-t-shirt/p-A22STSTR207ACTN/colorChange/A22STSTR207ACTN_NAVY?currentPosition=11&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
11,Stripes Cotton Blend Regular Fit Men's T-Shirt,"Wearing a t-shirt and looking stylish doesn't have to be a challenge. T-shirts in classic and current styles will all look great on you. Thus, wear a Stop's Stripes Cotton Blend Regular  Men's T-Shirt and appear great! Wearing this yellow t-shirt is sure to make you stand out!", India  Half   Regular  Stripes  Cotton Blend Collar Regular Collar  Mens Design Solid,https://www.shoppersstop.com/stop-stripes-cotton-blend-regular-fit-men-s-t-shirt/p-S22STSTRPL115/colorChange/S22STSTRPL115_YELLOW?currentPosition=12&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
12,Checks Cotton  Slim Fit Mens Shirt,"Green, large checks, cotton shirt by Fratini. This shirt is a slim-fit, it pairs well with dark-toned trousers or chinos, and can be styled as a day to night look with ease.", Woven  Shirts  India  Cotton Collar Button Down Collar  Full   Slim  Checks  Single  Casual Wear Neckline Collared,https://www.shoppersstop.com/fratini-checks-cotton-slim-fit-mens-shirt/p-S23FTWLCHK200GN/colorChange/S23FTWLCHK200GN_GREEN?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
13,Checks Cotton Slim Fit Men's Shirt,Premium linen cotton checked fabric finely blended with classic styles and modern craftmanship with unparalled comfort and super soft handfeel for trendy look, India  100% Cotton Collar Regular Collar Category Shirt  Full   Slim  Checks  Pack of 1  Casual Wear  NA,https://www.shoppersstop.com/life-checks-cotton-slim-fit-men-s-shirt/p-S21183FSCHA5BG/colorChange/S21183FSCHA5BG_BEIGE?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
14,Solid Cotton Regular Fit Men's T-Shirt,., India  Half   Regular Neckline Crew  Solid  Cotton  Single  Casual Wear  T-Shirts,https://www.shoppersstop.com/infuse-solid-cotton-regular-fit-men-s-t-shirt/p-SS22INFV02/colorChange/SS22INFV02_MUSTARD?currentPosition=15&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
15,Printed Cotton Lycra Slim Fit Men's T-Shirt,., India  Half   Slim Neckline V Neck  Printed  Cotton Lycra  Single  Casual Wear  Mens,https://www.shoppersstop.com/pepe-printed-cotton-lycra-slim-fit-men-s-t-shirt/p-S22ROYSSIPBLA/colorChange/S22ROYSSIPBLA_BLACK?currentPosition=16&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
16,Solid Cotton Regular Fit Men's T-Shirt,., India  Half   Regular Neckline Hood  Solid  Cotton  Single  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/pepe-solid-cotton-regular-fit-men-s-t-shirt/p-S23FIREBRATSSIP/colorChange/S23FIREBRATSSIP_BLACK?currentPosition=17&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
17,Solid Cotton Blend  Slim Fit Men's Trousers,"Amp up your casual-wear wardrobe with this pair of solid, cotton-blended, regular-length, slim-fit, mid-rise men's trousers from Life. Look your best by teaming it with a cool t-shirt and comfortable sneakers.",Wash Mid Wash  India  Cotton Blend  Solid Waist Rise Mid Rise  Slim Closure Type Button  Regular  Single Stretch Yes  Casual Wear  Trousers,https://www.shoppersstop.com/life-solid-cotton-blend-slim-fit-men-s-trousers/p-AW22CHINOFS50/colorChange/AW22CHINOFS50_OLIVE?currentPosition=18&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
18,Solid Cotton Stretch Slim Fit Men's Trousers,., India  Cotton Stretch  Solid  Slim  Full   Pack of 1  Casual Wear Collar Regular,https://www.shoppersstop.com/fratini-solid-cotton-stretch-slim-fit-men-s-trousers/p-SS21MFCH03DP/colorChange/SS21MFCH03DP_DUSTY_PINK?currentPosition=19&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
19,Printed Polyester Regular Fit Men's Active Wear T-Shirt,., India  Half   Regular Neckline Crew  Printed  100%Polyester  Pack of 1  Active Wear,https://www.shoppersstop.com/infuse-printed-polyester-regular-fit-men-s-active-wear-t-shirt/p-AW21ATEE006/colorChange/AW21ATEE006_BLACK?currentPosition=20&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
20,Solid Cotton Stretch Slim Fit Men's Trousers,., India  Cotton Stretch  Solid  Slim  Full   Pack of 1  Casual Wear Collar Regular,https://www.shoppersstop.com/fratini-solid-cotton-stretch-slim-fit-men-s-trousers/p-SS21MFCH04SB/colorChange/SS21MFCH04SB_SKY_BLUE?currentPosition=21&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
21,Botanical Rayon Slim Fit Men's Co-Ord Set,"Rigo is an india originated brand designed for men and women offering cool gear odour-free casual wear/activewear / athleisure men wear tracksuit, sweatshirts and jackets and is made with ultra-fresh odour control technology which keeps the body fresh all the time. ated with high-quality printed rayon, this co-ord set has a slim fit, shirt with half sleeves, cuban collar neck, and shorts has elastic waistband with drawstring closure.the durability, odourless, and anti-fading properties of this co-ord set make it a must have in your wardrobe. Team up with casual shoes to get a fun, outdoor look, or club it with loafers to give it a laid-back and easy-going look. This stitched-to-perfection co-ord set celebrates passion, style, reliability, affordability, and comfort.", Woven Closure Type Elastic and Drawstring Waist Rise Mid Rise Wash Clean Look  Sets  India  Rayon Collar Button Down Collar  Half   Slim  Botanical  Single  Casual Wear  Regular Neckline Collared,https://www.shoppersstop.com/rigo-botanical-rayon-slim-fit-men-s-co-ord-set/p-S23SET02231007/colorChange/S23SET02231007_WHITE?currentPosition=22&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
22,Solid Cotton Blend Men's T-Shirt,"Smart and stylish, the Solid Cotton Blend Men's T-Shirt is sure to become your preferred choice for a breezy casual look. Designed for a relaxed look, this solid pattern t-shirt for men features a polo neck and short sleeves. This men’s t-shirt is made from soft to touch cotton blend material and comes with a regular fit. Style your look with contrast chinos, slip-on sneakers and rimless sunglasses.", India Category T-Shirt  Regular  Solid  Cotton Blend Collar Regular Collar ,https://www.shoppersstop.com/stop-solid-cotton-blend-men-s-t-shirt/p-S21187STRPOL06A/colorChange/S21187STRPOL06A_BLACK?currentPosition=23&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
23,Solid Cotton Slim Fit Men's Casual Shirt,"Hangup is perhaps one of the most talked-about ethnic wear brands in India and is especially popular among fashion bloggers and influencers. It offers a vast array of ethnic wear clothes to meet the needs of Indian(men, women and kid) from all walks of life. From kurta sets, kurta, sherwani, trousers, shirt, jeans, suit, palazzo, 3 pics kurta sets with duppatta, jacket, blazer, nehru jacket. You can get it all under one brand. Hangup flaunts a dazzling medley of colours, prints, designs and fabrics. Their ethnic collection is definitely worth trying if you wish to make heads turn.", Woven Closure Type Button Pleat Non pleated  Shirts  India Stretch No  Cotton Collar Regular Collar  Full   Slim  Solid  Single  Casual Wear  Regular  Mens Neckline Collared,https://www.shoppersstop.com/hangup-solid-cotton-slim-fit-men-s-casual-shirt/p-A22BENROYALBLUE/colorChange/A22BENROYALBLUE_ROYAL_BLUE?currentPosition=24&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
24,Solid Foma Pique Lycra Regular Fit Mens Athleisure Jacket,., India  Athleisure  Foma Pique Lycra  Regular  Solid  Pack of 1 Stretch Non-Stretch,https://www.shoppersstop.com/altlife-solid-foma-pique-lycra-regular-fit-men-s-athleisure-jacket/p-S21183ATTRSUTJT/colorChange/S21183ATTRSUTJT_GREY?currentPosition=25&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D11&totalResultVal=24600&searchPageType=category
25,Printed Cotton Blend Mens Semi-Casual Kurta,"Dress to impress by donning the Bandeya Printed Cotton Blend Men's Semi-Casual Kurta. This kurta for men is designed in an attractive purple hue and sports a printed pattern. The cotton blend material promises unmatched comfort, while the regular silhouette lends a smart fit. Wear this kurta with an ethnic jacket and well-fitted pants.", India Category Kurta  Cotton  Casual Wear  Solid  Regular,https://www.shoppersstop.com/bandeya-printed-cotton-blend-men-s-semi-casual-kurta/p-S21MEKUFSHRPRLP/colorChange/S21MEKUFSHRPRLP_PURPLE?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
26,Printed Rayon Comfort Fit Men's Casual Shirt,., India  100% Rayon  Half   Pack of 1,https://www.shoppersstop.com/infuse-printed-rayon-comfort-fit-men-s-casual-shirt/p-A21INFUSE11/colorChange/A21INFUSE11_RED?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
27,Printed Cotton Blend Mens Casual Kurta,"Enhance your ethnic appeal by adding the Bandeya Printed Cotton Blend Men's Casual Kurta to your wardrobe. The printed pattern makes this light-brown kurta for men stand out. Crafted from a high-quality cotton blend in a regular fit, this kurta for men is sure to become your favourite in no time. Team this kurta with a pair of well-fitted pants and matching shoes.", India Category Kurta  Cotton Blend  Casual Wear  Printed  Regular,https://www.shoppersstop.com/bandeya-printed-cotton-blend-men-s-casual-kurta/p-S21MEKUFAGMLTBR/colorChange/S21MEKUFAGMLTBR_LIGHT_BROWN?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
28,Printed Denim Regular Fit Men's T-Shirt,., India Collection Casual Wear Stretch Non-Stretch  Half   Regular  Printed  Denim  Pack of 1  Casual Wear ,https://www.shoppersstop.com/life-printed-denim-regular-fit-men-s-t-shirt/p-S21509IRNRW/colorChange/S21509IRNRW_DEEP_INDIGO?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
